City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,gao,16.6362,1.637,22.39,9,99,3.58,ML,1707519131
193,tangalle,6.024,80.7911,23.83,76,51,5.39,LK,1707518872
194,nova vicosa,-17.8919,-39.3719,22.13,97,31,1.7,BR,1707519132
195,cabedelo,-6.9811,-34.8339,29.37,81,79,4.16,BR,1707519008
196,ulsteinvik,62.3432,5.8487,-1.93,67,25,3.13,NO,1707519132
197,sandnessjoen,66.0217,12.6316,-0.88,69,40,6.17,NO,1707519132
198,ketchikan,55.3422,-131.6461,4.99,93,100,6.17,US,1707519132
199,port alfred,-33.5906,26.891,18.99,85,58,2.68,ZA,1707519132
200,yei,4.095,30.6779,26.63,45,76,1.29,SS,1707519132
201,fort mcmurray,56.7268,-111.381,-6.27,79,100,2.57,CA,1707519133
202,bossangoa,6.4926,17.4552,24.74,24,49,2.07,CF,1707519133
203,ixtapa,20.7,-105.2,25.57,61,20,4.12,MX,1707519133
204,kaa-khem,51.6833,94.7333,-14.77,94,100,0.44,RU,1707519133
205,gaspe,48.8334,-64.4819,-2.88,86,75,0.0,CA,1707518902
206,kyshtovka,56.555,76.6271,-5.37,92,100,3.58,RU,1707519134
207,gaigeturi,33.4644,126.3183,6.03,65,75,1.03,KR,1707519134
208,basse-terre,16.1667,-61.6667,22.58,83,100,3.09,GP,1707519134
209,ozark,37.0209,-93.206,21.23,60,100,2.98,US,1707519134
210,avarua,-21.2078,-159.775,29.03,74,40,8.23,CK,1707519134
211,mahalapye,-23.1041,26.8142,26.75,53,62,4.73,BW,1707519135
212,polyarnyy,69.1989,33.4478,-14.61,89,100,2.75,RU,1707519135
213,shimoda,34.6667,138.95,6.72,69,64,1.89,JP,1707519135
214,jandiala sher khan,31.8199,73.9181,8.53,43,0,0.67,PK,1707519135
215,cabo san lucas,22.8909,-109.9124,21.45,68,100,4.63,MX,1707519136
216,lata,40.1629,-8.3327,11.15,88,88,5.56,PT,1707519136
217,kingston,17.997,-76.7936,29.53,59,20,3.6,JM,1707519104
218,palu,-0.8917,119.8707,25.18,88,99,1.74,ID,1707519136
219,duba,27.3513,35.6901,21.58,48,0,0.98,SA,1707519136
220,seka,17.9285,103.9552,14.66,71,24,2.54,TH,1707519137
221,magadan,59.5667,150.8,-30.09,80,14,2.79,RU,1707519112
222,wellington,-41.2866,174.7756,21.1,70,20,11.32,NZ,1707518721
223,taroa,8.7058,171.2275,26.8,81,100,11.82,MH,1707519137
224,calvinia,-31.4707,19.776,13.9,73,2,1.91,ZA,1707519137
225,hamilton,39.1834,-84.5333,15.69,70,0,5.66,US,1707518857
226,faya-largeau,17.9257,19.1043,18.86,17,0,5.44,TD,1707519138
227,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,56,75,5.0,RU,1707519138
228,buka,40.8108,69.1986,8.91,40,65,0.73,UZ,1707519138
229,tazacorte,28.629,-17.9293,21.54,98,40,5.14,ES,1707519138
230,huarmey,-10.0681,-78.1522,24.9,83,12,4.45,PE,1707519139
231,chunskiy,56.0815,99.6342,-0.74,90,100,3.68,RU,1707519139
232,nantucket,41.2835,-70.0995,4.44,87,0,5.66,US,1707519002
233,nikolayevsk-on-amure,53.1406,140.73,-20.15,100,80,1.28,RU,1707519139
234,takoradi,4.8845,-1.7554,25.89,86,4,1.42,GH,1707519140
235,niamey,13.5137,2.1098,24.16,14,4,1.54,NE,1707519140
236,kalmunai,7.4167,81.8167,25.97,76,100,4.6,LK,1707519140
237,sao paulo de olivenca,-3.3783,-68.8725,26.81,85,83,0.86,BR,1707519140
238,jianguang,28.1938,115.7836,4.6,88,20,2.47,CN,1707519141
239,kornik,52.2477,17.0895,5.75,93,100,2.26,PL,1707519141
240,praia da vitoria,38.7333,-27.0667,13.75,94,20,0.38,PT,1707519141
241,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,2.06,CA,1707519142
242,la ronge,55.1001,-105.2842,-4.86,80,100,3.09,CA,1707519142
243,qamdo,31.1667,97.2333,-14.97,37,0,0.58,CN,1707519142
244,rio san juan,19.6439,-70.0763,24.19,60,0,5.98,DO,1707519143
245,zamora,-4.0692,-78.9567,30.58,96,58,1.14,EC,1707519143
246,belyy yar,53.6039,91.3903,3.94,65,0,6.0,RU,1707519143
247,ta`u,-14.2336,-169.5144,28.79,81,100,7.83,AS,1707519143
248,pocora,10.1718,-83.6044,22.29,93,92,1.17,CR,1707519144
249,morehead city,34.7229,-76.726,14.01,87,0,1.54,US,1707519144
250,san borja,-14.8167,-66.85,27.57,78,96,0.33,BO,1707519144
251,lazaro cardenas,17.9583,-102.2,27.22,57,0,4.69,MX,1707519069
252,ascension,30.2169,-90.9001,24.0,67,100,3.09,US,1707519145
253,fort bragg,35.139,-79.006,16.75,70,100,2.06,US,1707519145
254,altay,47.8667,88.1167,-4.78,68,85,3.79,CN,1707519145
255,san patricio,28.017,-97.5169,25.05,69,100,5.38,US,1707519145
256,saint-philippe,-21.3585,55.7679,26.77,83,100,6.91,RE,1707519145
257,tawau,4.2498,117.8871,24.07,94,37,0.89,MY,1707519146
258,okeechobee,27.2439,-80.8298,23.01,59,100,2.06,US,1707519146
259,qinzhou,21.95,108.6167,11.64,69,99,4.04,CN,1707519146
260,forster,-32.1667,152.5167,21.32,100,28,4.92,AU,1707519146
261,puerto armuelles,8.2833,-82.8667,31.99,68,8,0.45,PA,1707519146
262,quepos,9.4236,-84.1652,28.76,72,18,1.89,CR,1707519146
263,zhangjiajie,29.1294,110.4783,3.64,95,18,1.89,CN,1707519146
264,prado,-17.3411,-39.2208,22.61,94,69,2.41,BR,1707519087
265,nova sintra,14.8667,-24.7167,20.87,72,0,10.69,CV,1707519147
266,northam,51.0333,-4.2167,9.81,96,96,4.07,GB,1707519147
267,keflavik,64.0049,-22.5624,-3.76,74,0,5.14,IS,1707519147
268,iquique,-20.2208,-70.1431,26.02,80,10,4.3,CL,1707519118
269,tank,32.2217,70.3793,13.38,26,0,2.15,PK,1707519148
270,sihanoukville,10.6093,103.5296,26.97,78,20,2.57,KH,1707519148
271,dryden,49.7833,-92.7503,-7.84,86,100,4.12,CA,1707519148
272,hithadhoo,-0.6,73.0833,28.38,67,85,5.83,MV,1707519148
273,old town,50.087,14.4202,10.0,93,75,2.57,CZ,1707519148
274,cidreira,-30.1811,-50.2056,25.29,87,24,5.7,BR,1707519148
275,katsuura,35.1333,140.3,5.87,84,72,2.89,JP,1707519148
276,hawaiian paradise park,19.5933,-154.9731,23.91,85,100,4.63,US,1707519149
